Size	Run	Node:1	Node:2	Node:3	Node:4	Node:5	Node:6	Node:7	Node:8	Node:9	Node:10	Node:11	Node:12	Node:13	Node:14	Node:15	Node:16	Node:17	Node:18	Node:19	Node:20	Node:21	Node:22	Node:23	Node:24	Node:25	Node:26	Node:27	Node:28	Seq:1	Seq:2	Seq:3	Seq:4	Seq:5	Seq:6	Seq:7	Seq:8	Seq:9	Seq:10	Seq:11	Seq:12	Seq:13	Seq:14	Seq:15	Seq:16	Seq:17	Seq:18	Seq:19	Seq:20	Seq:21	Seq:22	Seq:23	Seq:24	Seq:25	Seq:26	Seq:27	Seq:28	
6	1	2636135	1270420	1087731	1275606	1999292	5182200																							35514174	11490782	8377062	8001776	10883326	88930337																						
6	2	2545193	1294192	1109074	1261185	1965015	5260006																							35601562	12245256	8423701	7952132	10558481	89515887																						
6	3	2748824	1299663	1144989	1289300	2083742	5055160																							39661050	12060578	8211114	8141921	11205892	88274198																						
6	4	2777961	1408535	1194317	1327085	2071534	4924559																							39300828	13276423	8726162	8043452	11481876	87191365																						
6	5	2212578	1132037	1039811	1151966	1768034	5686525																							32905339	10624357	8071925	7293664	9989617	91959072																						
6	6	2600423	1255322	1110575	1252581	2050459	5194937																							36836607	11887249	7973469	7906032	11047140	89170389																						
6	7	2679250	1336782	1149314	1342524	2063579	5057225																							35450343	12965680	8451585	8450979	11295911	88062076																						
6	8	2511501	1223376	1038322	1141153	1950695	5395838																							34528861	11487359	8215003	7182835	10896830	90132707																						
6	9	2580125	1248917	1089664	1268144	2067248	5181127																							35944899	11762210	8054608	7938000	11422448	88808872																						
6	10	2660794	1253680	1088623	1282868	2106292	5142119																							35933226	11666261	7707180	8179423	11290435	89074968																						
6	11	2523714	1236312	1142202	1217949	1963155	5267267																							34413502	11213584	9095405	7663025	10609460	89495709																						
6	12	2720122	1271655	1202950	1294938	2157311	4989257																							39275653	11168262	8972743	8001842	11687224	87919345																						
6	13	2523858	1235654	1074431	1191629	1980918	5324341																							35399239	11850691	7829573	7431947	10686021	89988656																						
6	14	2469804	1439613	1237827	1344045	1878035	5112456																							34099301	14200168	9546148	8486239	9929543	88365802																						
6	15	2656974	1371248	1253690	1348727	2024816	5015039																							38033191	13544989	9312845	8467404	10700706	88083478																						
6	16	2725603	1391279	1182515	1278298	2046964	5043585																							39001159	12884496	8986542	7962040	11141459	87987436																						
6	17	2577773	1252141	1133235	1292564	2132935	5110061																							37298768	11566786	8265134	8131344	11759394	88548317																						
6	18	2119454	1200597	1071252	1192792	1697842	5685461																							30922491	11416452	8328939	7682786	9322484	91961597																						
6	19	2033167	1153229	977454	1080721	1647840	5874033																							27134798	10796039	7755375	7043385	9082347	93194013																						
7	0	2653792	1223266	931084	978112	1225045	1960882	4913122																						36884272	12729946	7226666	6480728	7600932	10198607	87671676																					
7	1	2529813	1227733	986702	1029108	1160165	1882517	4926613																						36360361	12111459	8405024	7128543	6863104	10096737	87426465																					
7	2	2059053	1439593	1005595	1024172	1353623	1494531	5166057																						28864334	15526822	7916931	6924133	8179083	8040890	88765739																					
7	3	2699012	1218612	1029551	992643	1189457	1987896	4840302																						40643355	12233997	8101597	6695843	7073069	10255885	87328725																					
7	4	2259544	1200502	996633	934345	1098039	1764280	5190816																						32330743	12096585	8639612	6612406	6672284	9661364	88931155																					
7	5	2620061	1188489	983792	980048	1172920	1935060	4924472																						39458518	11770996	7800458	6731506	7028242	10169835	87711094																					
7	6	2657940	1236068	1019302	1021031	1270297	1967377	4803305																						39830843	12428159	8018988	6819632	7681897	10318921	87100930																					
