group	AraportID	expressed_in_6909	expressed_nowhere	anyreads_in_6909	noreads_anywhere	nolocus_in_6909	N_acc_where_expressed.S	N_acc_where_expressed.R	N_acc_where_expressed.F	N_acc_where_expressed.P
AT1SG10001644	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	3	3
AT1SG10001650	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	0	1	0
AT1SG10001651	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10001652	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	0
AT1SG10001668	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10001669	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001670	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001671	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001677	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	1
AT1SG10001685	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	0	0	0
AT1SG10001691	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10001692	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0	1
AT1SG10001693	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	0
AT1SG10001694	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	1
AT1SG10001695	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	1
AT1SG10001700	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	1
AT1SG10001705	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001707	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001708	NA	TRUE	FALSE	TRUE	FALSE	FALSE	1	0	2	1
AT1SG10001734	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	0	0
AT1SG10001735	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001736	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001739	NA	TRUE	FALSE	TRUE	FALSE	FALSE	3	2	24	21
AT1SG10001740	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001765	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2	2	0
AT1SG10001774	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001777	NA	FALSE	FALSE	FALSE	FALSE	TRUE	3	3	2	0
AT1SG10001786	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001809	NA	FALSE	FALSE	FALSE	FALSE	TRUE	10	10	8	0
AT1SG10001826	NA	TRUE	FALSE	TRUE	FALSE	FALSE	27	27	25	24
AT1SG10001838	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001840	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	0	0
AT1SG10001846	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001850	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10001852	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	0	0	0
AT1SG10001854	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10001855	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	1	0	0
AT1SG10001858	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	0	0	0
AT1SG10001859	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001861	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001878	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001880	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001881	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10001888	NA	FALSE	FALSE	FALSE	FALSE	TRUE	8	8	8	0
AT1SG10001889	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	1	4	3
AT1SG10001913	NA	FALSE	FALSE	FALSE	FALSE	TRUE	15	18	16	9
AT1SG10001926	NA	TRUE	FALSE	TRUE	FALSE	FALSE	19	16	23	23
AT1SG10001927	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2	1	2
AT1SG10001928	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2	2	2
AT1SG10001936	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10001937	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10001949	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001963	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10001964	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001975	NA	FALSE	TRUE	TRUE	FALSE	FALSE	0	0	0	0
AT1SG10001981	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0	2
AT1SG10001983	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	1	1	0
AT1SG10001985	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10001991	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	3	3
AT1SG10002007	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002021	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	2	3
AT1SG10002023	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002038	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002042	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002043	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002062	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0	0	0
AT1SG10002063	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	1	0
AT1SG10002075	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	0
AT1SG10002076	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002089	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	2	0
AT1SG10002090	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	0
AT1SG10002093	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	2
AT1SG10002098	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002099	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	1
AT1SG10002101	NA	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	18	12
AT1SG10002126	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0	0	0
AT1SG10002129	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	0	1	1
AT1SG10002130	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2	2	4
AT1SG10002151	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002162	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002169	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	0	0	0
AT1SG10002185	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002204	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0	1
AT1SG10002206	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	2	0
AT1SG10002219	NA	FALSE	FALSE	FALSE	FALSE	FALSE	1	0	8	0
AT1SG10002237	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	2	0
AT1SG10002249	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002250	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002264	NA	FALSE	FALSE	FALSE	FALSE	TRUE	4	2	2	2
AT1SG10002265	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	2	3
AT1SG10002266	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	2
AT1SG10002267	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0	1
AT1SG10002268	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002282	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	0
AT1SG10002283	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	1	3	0
AT1SG10002288	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	1
AT1SG10002292	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002299	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002302	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002306	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	0
AT1SG10002311	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002321	NA	FALSE	FALSE	TRUE	FALSE	FALSE	0	0	14	0
AT1SG10002334	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002342	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002343	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0	1
AT1SG10002362	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002366	NA	TRUE	FALSE	TRUE	FALSE	FALSE	11	13	23	0
AT1SG10002367	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0	0	0
AT1SG10002376	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	1
AT1SG10002378	NA	FALSE	FALSE	TRUE	FALSE	FALSE	11	6	6	1
AT1SG10002388	NA	TRUE	FALSE	TRUE	FALSE	FALSE	24	18	6	0
AT1SG10002389	NA	TRUE	FALSE	TRUE	FALSE	FALSE	21	12	5	0
AT1SG10002395	NA	FALSE	FALSE	FALSE	FALSE	TRUE	11	11	10	1
AT1SG10002403	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002404	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002405	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002406	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002407	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002408	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002412	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	0
AT1SG10002419	NA	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	16	21
AT1SG10002420	NA	TRUE	FALSE	TRUE	FALSE	FALSE	2	1	19	20
AT1SG10002435	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	0	0
AT1SG10002450	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	1
AT1SG10002478	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0	0	0
AT1SG10002491	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002536	NA	FALSE	FALSE	TRUE	FALSE	FALSE	2	0	4	0
AT1SG10002550	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002553	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2	2	2
AT1SG10002569	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	1
AT1SG10002573	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2	1	0
AT1SG10002627	NA	FALSE	FALSE	FALSE	FALSE	TRUE	12	11	11	7
AT1SG10002629	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	0	0
AT1SG10002630	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0	1
